Annotator	Data set	ID	Text	Is it offensive?	Is it a slur?	Is it adjective nominalization	Is it distancing
F		M-24	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N
A		M-23	I actually like the term marriage that includes gays over gay marriage.	N	N	N	N
C		M-23	I actually like the term marriage that includes gays over gay marriage.	N	N	Y	N
E		M-23	I actually like the term marriage that includes gays over gay marriage.	N	N	Y	N
A		M-22	I prefer to include gays in the definition of marriage.	N	N	Y	N
C		M-22	I prefer to include gays in the definition of marriage.	N	N	Y	N
E		M-22	I prefer to include gays in the definition of marriage.	N	N	Y	N
C		M-21b	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	Y	N	Y	N
E		M-21b	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	N	N	Y	N
F		M-21b	When a female posts a status or photo and you comment on it without complimenting it, then doesn't get a Like 	N	N	Y	N
A		M-21a	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	N	N	Y	N
C		M-21a	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	Y	N	Y	N
E		M-21a	Procreation argument - a primary objective of marriage is procreation, and gays can't procreate.	N	N	Y	N
B		M-20b	currently on a bus like some poor ,I want to make it clear that I am not a poor, I am extremely wealthy, I just take buses to view the poors	Y	N	Y	N
D		M-20b	currently on a bus like some poor ,I want to make it clear that I am not a poor, I am extremely wealthy, I just take buses to view the poors	Y	N	Y	Y
F		M-20b	currently on a bus like some poor ,I want to make it clear that I am not a poor, I am extremely wealthy, I just take buses to view the poors	Y	N	Y	N
B		M-20a	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N
E		M-20a	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N
F		M-20a	But I felt unhappy because I have never had a female truly like me for who I am.	N	N	Y	N
A		M-19b	This is why I don't get first class,what viewing of poors is to be done there	N	N	Y	N
B		M-19b	This is why I don't get first class,what viewing of poors is to be done there	N	N	Y	N
C		M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
D		M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
E		M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
F		M-19b	This is why I don't get first class,what viewing of poors is to be done there	Y	N	Y	N
A		M-19a	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	N	N	Y	N
C		M-19a	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	Y	N	Y	N
E		M-19a	I was opposed to the decision, but we — you can’t just say, “well, they — gays can’t get married now.”	N	N	Y	N
A		M-18b	The gay said, 'Do we know her from the community center.' And the transwoman said, 'No, bitch; we robbed her.'	Y	Y	Y	N
C		M-18b	The gay said, 'Do we know her from the community center.' And the transwoman said, 'No, bitch; we robbed her.'	N	Y	Y	N
E		M-18b	The gay said, 'Do we know her from the community center.' And the transwoman said, 'No, bitch; we robbed her.'	Y	N	Y	N
A		M-18a	Maybe it's because of their race for you? Is that it? Maybe if an illegal was killed, would that make news?	N	N	Y	N
B		M-18a	Maybe it's because of their race for you? Is that it? Maybe if an illegal was killed, would that make news?	Y	N	Y	N
C		M-18a	Maybe it's because of their race for you? Is that it? Maybe if an illegal was killed, would that make news?	Y	N	Y	N
A		M-17d	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	N	Y	Y	N
C		M-17d	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	Y	N	Y	N
E		M-17d	The other day the gay told me he is on a period and can't have sex he got pains, I was so puzzled and asked how is possible for a man to have a period, he smiled and replied to me by saying, he drank a broolux and have a running stomach,,,	N	N	Y	N
B		M-17c	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N
E		M-17c	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N
F		M-17c	Its obvious sarcasm on your part and a bias against me simply for being a female. 	N	N	Y	N
D		M-17b	In NH, too. Race of an illegal was used as an excuse for fleeing a police stop & causing a 6 car pileup, almost killing people! It worked.				
E		M-17b	In NH, too. Race of an illegal was used as an excuse for fleeing a police stop & causing a 6 car pileup, almost killing people! It worked.	Y	N	Y	N
F		M-17b	In NH, too. Race of an illegal was used as an excuse for fleeing a police stop & causing a 6 car pileup, almost killing people! It worked.	Y	N	Y	N
A		M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	N	N	Y	N
B		M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
C		M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
D		M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	N	N	N	N
E		M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
F		M-17a	If you cheat on me, a poor can only offer promises. A rich man can offer promises and balenciaga. Both cheat, but one can compensate my pain	Y	N	Y	N
D		M-16b	VOTED illegally 3 times as an illegal! Was shooter in the Cascade Mall. A true Democrat!!!	Y	N	Y	Y
E		M-16b	VOTED illegally 3 times as an illegal! Was shooter in the Cascade Mall. A true Democrat!!!	Y	N	Y	N
F		M-16b	VOTED illegally 3 times as an illegal! Was shooter in the Cascade Mall. A true Democrat!!!	Y	N	Y	Y
B		M-16a	If a female generalized men she would just be a bitter person	N	N	Y	N
E		M-16a	If a female generalized men she would just be a bitter person	N	N	Y	N
F		M-16a	If a female generalized men she would just be a bitter person	N	N	Y	N
D		M-15c	the mcdonalds was just an example that an illegal was working a managerial job...	Y	N	Y	N
E		M-15c	the mcdonalds was just an example that an illegal was working a managerial job...	Y	N	Y	N
F		M-15c	the mcdonalds was just an example that an illegal was working a managerial job...	Y	N	Y	N
A		M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
B		M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	Y	N	Y	N
C		M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
D		M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
E		M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
F		M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	Y	N	Y	N
B		M-15a	jesus christ i make a joke and now im a gay? Is that how you catch the gay?	Y	N	Y	N
F		M-15a	jesus christ i make a joke and now im a gay? Is that how you catch the gay?	Y	N	Y	N
C		M-14b	What?! An illegal was able to vote...caller is drunk...libs tell us illegals can't vote...come on.... @cspanwj	Y	N	Y	N
E		M-14b	What?! An illegal was able to vote...caller is drunk...libs tell us illegals can't vote...come on.... @cspanwj	Y	N	Y	N
F		M-14b	What?! An illegal was able to vote...caller is drunk...libs tell us illegals can't vote...come on.... @cspanwj	Y	Y	Y	Y
B		M-14a	use to be fan of Sam Smith, I just fell in love with his voice but when he open up being a gay. I was like Oh! Dear, you can’t be.	Y	N	Y	N
F		M-14a	use to be fan of Sam Smith, I just fell in love with his voice but when he open up being a gay. I was like Oh! Dear, you can’t be.	Y	N	Y	N
B		M-13c	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	Y	N
E		M-13c	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	N	N
F		M-13c	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	Y	N
A		M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
B		M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
C		M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
D		M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
E		M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
F		M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
A		M-12c	If an illegal was settled in Mexico or Canada, I promise you they would be deported! What makes Trump so bad for wanting to enforce USA law?	N	N	Y	N
B		M-12c	If an illegal was settled in Mexico or Canada, I promise you they would be deported! What makes Trump so bad for wanting to enforce USA law?	Y	N	Y	N
D		M-12c	If an illegal was settled in Mexico or Canada, I promise you they would be deported! What makes Trump so bad for wanting to enforce USA law?	Y	N	Y	N
A		M-12b	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N
C		M-12b	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N
E		M-12b	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N
A		M-12a	#askcon idk what a gay is but tell them to drink their holy water 	Y	N	Y	Y
B		M-12a	#askcon idk what a gay is but tell them to drink their holy water 	Y	N	Y	N
C		M-12a	#askcon idk what a gay is but tell them to drink their holy water 	Y	N	Y	N
A		D-70	"@ArizonasFinest6: Why the eggplant emoji doe?"y he say she looked like scream lmao	N	N	N	N
B		D-70	"@ArizonasFinest6: Why the eggplant emoji doe?"y he say she looked like scream lmao	N	N	N	N
C		D-70	"@ArizonasFinest6: Why the eggplant emoji doe?"y he say she looked like scream lmao	N	N	N	N
A		D-689	#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?	N	N	N	N
B		D-689	#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?	N	N	N	N
C		D-689	#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?	N	N	N	N
A		D-6561	@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim	Y	Y	Y	N
B		D-6561	@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim	Y	Y	Y	N
C		D-6561	@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim	Y	Y	N	N
A		D-6348	@infidelpamelaLC I'm going to blame the black man, since they always blame "whitey" I'm an equal opportunity hater.	Y	Y	Y	N
B		D-6348	@infidelpamelaLC I'm going to blame the black man, since they always blame "whitey" I'm an equal opportunity hater.	Y	N	N	Y
C		D-6348	@infidelpamelaLC I'm going to blame the black man, since they always blame "whitey" I'm an equal opportunity hater.	Y	N	Y	N
A		D-63	"@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF" woof woof hot scally lad	N	N	N	N
B		D-63	"@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF" woof woof hot scally lad	Y	Y	N	N
C		D-63	"@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF" woof woof hot scally lad	N	N	N	N
A		D-6	you’re pretty for a black girl	Y	N	N	Y
D		D-6	you’re pretty for a black girl	Y	N	N	Y
E		D-6	you’re pretty for a black girl	Y	N	N	Y
A		D-5913	@clinchmtn316 @sixonesixband AMERICA today, the rule of thumb is: when in doubt, blame "whitey"	Y	Y	Y	N
B		D-5913	@clinchmtn316 @sixonesixband AMERICA today, the rule of thumb is: when in doubt, blame "whitey"	Y	Y	N	N
C		D-5913	@clinchmtn316 @sixonesixband AMERICA today, the rule of thumb is: when in doubt, blame "whitey"	Y	N	Y	N
A		D-5151	@TimoteoSHonesto @vcortesusmc little punk, we should send his ass to Iraq for a few weeks! 	N	Y	N	N
B		D-5151	@TimoteoSHonesto @vcortesusmc little punk, we should send his ass to Iraq for a few weeks! 	N	Y	N	N
D		D-5151	@TimoteoSHonesto @vcortesusmc little punk, we should send his ass to Iraq for a few weeks! 	N	N	Y	N
A		D-5	You’re black? You don’t sound like you’re black	Y	N	Y	N
C		D-5	You’re black? You don’t sound like you’re black	Y	N	N	N
D		D-5	You’re black? You don’t sound like you’re black	Y	N	N	Y
A		D-4997	@Taylor_1017 faggot	Y	Y	Y	N
B		D-4997	@Taylor_1017 faggot	Y	Y	N	N
C		D-4997	@Taylor_1017 faggot	Y	Y	N	N
A		D-4309	naw them boys trash we started coasting	N	N	N	N
B		D-4309	naw them boys trash we started coasting	N	N	N	N
C		D-4309	naw them boys trash we started coasting	N	N	Y	Y
A		D-3982	@L1LTR4P fucking losers wetbacks #SorryNotSorry	Y	Y	Y	N
B		D-3982	@L1LTR4P fucking losers wetbacks #SorryNotSorry	Y	Y	N	N
C		D-3982	@L1LTR4P fucking losers wetbacks #SorryNotSorry	Y	Y	Y	N
A		D-3971	@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri	Y	Y	Y	N
B		D-3971	@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri	Y	Y	N	Y
C		D-3971	@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri	Y	N	Y	N
A		D-375	"@nohands_24: "@20ToLife_: "@nohands_24: "@DejaaLeeann_: @B_Coleman2 swears I'm #1 man" easily" easily" behind Austin" nip?	N	N	N	N
B		D-375	"@nohands_24: "@20ToLife_: "@nohands_24: "@DejaaLeeann_: @B_Coleman2 swears I'm #1 man" easily" easily" behind Austin" nip?	N	Y	N	N
C		D-375	"@nohands_24: "@20ToLife_: "@nohands_24: "@DejaaLeeann_: @B_Coleman2 swears I'm #1 man" easily" easily" behind Austin" nip?	N	N	N	N
A		D-3749	@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back	Y	Y	Y	Y
B		D-3749	@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back	Y	Y	N	Y
C		D-3749	@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back	Y	Y	Y	Y
A		D-369	"@metroadlib: colored contacts in your eyes?  blinders on mine.  cause i can't see you at all." Lmao	N	N	N	N
B		D-369	"@metroadlib: colored contacts in your eyes?  blinders on mine.  cause i can't see you at all." Lmao	N	N	N	N
C		D-369	"@metroadlib: colored contacts in your eyes?  blinders on mine.  cause i can't see you at all." Lmao	N	N	N	Y
A		D-361	"@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT"  &#128123;spook	N	N	N	N
B		D-361	"@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT"  &#128123;spook	N	N	N	N
C		D-361	"@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT"  &#128123;spook	N	N	N	N
A		D-356	"@jethromass: Photo: http://t.co/CxRs5BVhPw" he is in sole heaven	N	N	N	N
B		D-356	"@jethromass: Photo: http://t.co/CxRs5BVhPw" he is in sole heaven	N	N	N	N
C		D-356	"@jethromass: Photo: http://t.co/CxRs5BVhPw" he is in sole heaven	N	N	N	N
A		D-3492	@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies	Y	Y	Y	N
B		D-3492	@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies	Y	Y	N	N
C		D-3492	@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies	Y	Y	N	N
A		D-3488	@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.	Y	Y	Y	N
B		D-3488	@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.	Y	Y	N	N
C		D-3488	@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.	Y	N	Y	N
A		D-346	"@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"	N	N	N	N
B		D-346	"@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"	N	N	N	N
C		D-346	"@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"	N	N	N	N
A		D-341	"@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"	N	N	N	N
B		D-341	"@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"	N	N	N	N
C		D-341	"@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"	N	N	N	N
A		D-336	"@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm" i am such a crybaby	N	N	N	N
B		D-336	"@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm" i am such a crybaby	N	N	N	N
C		D-336	"@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm" i am such a crybaby	N	N	N	N
A		D-334	"@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals" @peta	N	N	N	N
B		D-334	"@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals" @peta	N	N	N	N
C		D-334	"@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals" @peta	N	N	N	N
A		D-3266	@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN	Y	Y	Y	N
B		D-3266	@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN	Y	N	N	Y
C		D-3266	@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN	Y	N	N	N
A		D-318	"@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"	N	N	N	N
B		D-318	"@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"	N	N	N	N
C		D-318	"@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"	N	N	N	N
A		D-287	"@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th." #RALLYCAP	N	N	N	N
B		D-287	"@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th." #RALLYCAP	N	N	N	N
C		D-287	"@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th." #RALLYCAP	N	Y	N	N
A		D-277	"@WBUR: A smuggler explains how he helped fighters along the "Jihadi Highway": http://t.co/UX4anxeAwd"	N	N	N	N
B		D-277	"@WBUR: A smuggler explains how he helped fighters along the "Jihadi Highway": http://t.co/UX4anxeAwd"	N	N	N	N
C		D-277	"@WBUR: A smuggler explains how he helped fighters along the "Jihadi Highway": http://t.co/UX4anxeAwd"	N	N	N	N
A		D-2724	BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them	N	Y	Y	N
B		D-2724	BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them	Y	Y	N	Y
C		D-2724	BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them	N	N	Y	N
A		D-272	"@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0"ned stark was the man	N	N	N	N
B		D-272	"@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0"ned stark was the man	N	N	N	N
C		D-272	"@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0"ned stark was the man	N	N	N	N
A		D-2656	BillPeriman @Po_st I bet he would have gone apeshit and killed them all if they attacked Muslims	Y	N	Y	N
B		D-2656	BillPeriman @Po_st I bet he would have gone apeshit and killed them all if they attacked Muslims	N	Y	Y	N
C		D-2656	BillPeriman @Po_st I bet he would have gone apeshit and killed them all if they attacked Muslims	N	N	Y	N
A		D-2604	BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it	Y	Y	Y	Y
B		D-2604	BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it	Y	Y	N	Y
C		D-2604	BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it	Y	Y	N	Y
A		D-25288	you worried bout other bitches, you need me for?	N	Y	Y	N
B		D-25288	you worried bout other bitches, you need me for?	Y	Y	N	N
C		D-25288	you worried bout other bitches, you need me for?	N	Y	N	N
A		D-25287	you really care bout dis bitch. my dick all in yo feelings	Y	Y	N	N
B		D-25287	you really care bout dis bitch. my dick all in yo feelings	Y	Y	N	N
C		D-25287	you really care bout dis bitch. my dick all in yo feelings	Y	Y	N	N
A		D-25285	you might as well gone pussy pop on a stage	N	Y	N	N
B		D-25285	you might as well gone pussy pop on a stage	Y	Y	N	N
C		D-25285	you might as well gone pussy pop on a stage	N	N	N	N
A		D-25284	you look like your 12 stop talking about fucking bitches &#9757;	N	Y	Y	N
B		D-25284	you look like your 12 stop talking about fucking bitches &#9757;	Y	Y	N	N
C		D-25284	you look like your 12 stop talking about fucking bitches &#9757;	Y	Y	N	N
A		D-24127	bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em	Y	Y	Y	N
B		D-24127	bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em	Y	Y	N	N
C		D-24127	bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em	Y	Y	N	N
A		D-2381	3CarryOnItems all them bitches far as fuck from us. We got el gran pollo up this way and it serves us well. @Lex_Gracie	N	Y	Y	Y
B		D-2381	3CarryOnItems all them bitches far as fuck from us. We got el gran pollo up this way and it serves us well. @Lex_Gracie	N	Y	N	Y
C		D-2381	3CarryOnItems all them bitches far as fuck from us. We got el gran pollo up this way and it serves us well. @Lex_Gracie	N	Y	N	Y
A		D-20274	RT @pekholt: Raven Symone's hair be like, "I'm not colored, I'm American." http://t.co/mkx0d4bh2Q	N	Y	Y	N
B		D-20274	RT @pekholt: Raven Symone's hair be like, "I'm not colored, I'm American." http://t.co/mkx0d4bh2Q	N	N	Y	N
C		D-20274	RT @pekholt: Raven Symone's hair be like, "I'm not colored, I'm American." http://t.co/mkx0d4bh2Q	Y	N	Y	Y
A		D-198	"@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm" #Climate	N	N	N	N
B		D-198	"@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm" #Climate	N	N	N	N
C		D-198	"@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm" #Climate	N	N	N	N
A		D-19562	RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.	Y	Y	Y	N
B		D-19562	RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.	Y	Y	N	N
C		D-19562	RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.	Y	Y	N	N
A		D-192	"@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;" I got hicks lol	N	N	N	N
B		D-192	"@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;" I got hicks lol	N	Y	N	N
C		D-192	"@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;" I got hicks lol	N	N	N	N
A		D-183	"@M_Rad: &#8220;@DezDLT: "I play soccer, cheat on girls, and wear khaki coloured cargos" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao"@soccerboy_04	N	Y	N	N
B		D-183	"@M_Rad: &#8220;@DezDLT: "I play soccer, cheat on girls, and wear khaki coloured cargos" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao"@soccerboy_04	Y	N	N	N
C		D-183	"@M_Rad: &#8220;@DezDLT: "I play soccer, cheat on girls, and wear khaki coloured cargos" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao"@soccerboy_04	N	N	N	N
A		D-182	"@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks" @dliming35 #bum	N	N	N	N
B		D-182	"@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks" @dliming35 #bum	N	N	N	N
C		D-182	"@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks" @dliming35 #bum	N	Y	N	N
A		D-17886	RT @SwaaggyyV: Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.	Y	Y	Y	N
B		D-17886	RT @SwaaggyyV: Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.	Y	Y	N	N
C		D-17886	RT @SwaaggyyV: Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.	Y	Y	N	N
A		D-166	"@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!" This is still the early bird special. #ComeAtMeUT	N	N	N	N
B		D-166	"@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!" This is still the early bird special. #ComeAtMeUT	N	N	N	N
C		D-166	"@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!" This is still the early bird special. #ComeAtMeUT	N	N	N	N
